,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
0,5ydeCNaWDmFbu4zl0roPAH,Groovejet (If This Ain't Love) [feat. Sophie Ellis-Bextor],Spiller,house,0.000132,0.719,0.626,227619,0.806,0.0889,9,0.361,-6.802,0,0.0389,123.037,4
1,1kb5MBYPIwuOucLUzYqnxi,All I Want (feat. Jake Shears) - Purple Disco Machine Remix,Jake Shears,house,0.00545,0.681,0.841,210268,0.759,0.7,8,0.0458,-7.133,0,0.0296,121.008,4
2,1gOJTtLoFhsSTX7OEiKzuI,Get It Right (feat. Shawnee Taylor) - Club Mix Edit,Harry Romero,house,0.0013,0.799,0.576,147440,0.903,0.0491,6,0.154,-6.135,1,0.0674,124.004,4
3,7IQYnbKrjET0nZbWxbpLpx,You Are The One,Ferreck Dawn,house,0.0404,0.845,0.636,155122,0.71,0.0191,0,0.114,-7.704,0,0.0495,125.015,4
4,2cYoxKPVUDFhFx7J1vjRl9,Feeling U (feat. Yasmin),Sonny Fodera,house,0.213,0.822,0.788,291064,0.548,0.0625,0,0.223,-6.537,1,0.0409,122.01,4
5,5lLIeXGkmxVb2L8fOLTPWC,You Got Me (feat. Lisa Shaw) - Benji Candelario Late Night Strut Mix,Benji Candelario,house,1.9e-05,0.8,0.705,427886,0.64,0.722,10,0.0843,-10.119,1,0.0501,123.983,4
6,6wowGtUqz0xT6UfU7sLaB8,Searching (feat. Jinadu) - Deetron Remix,Fred Everything,house,0.00822,0.76,0.207,483871,0.751,0.337,10,0.0848,-8.171,1,0.0497,124.001,4
7,0jMhSBaZ4vvfY4EpcqbbnK,Thunda (feat. John Mendelsohn) - Rampa Remix,Honey Dijon,house,0.216,0.734,0.341,425653,0.326,0.559,2,0.1,-14.635,1,0.0529,122.008,4
8,2npWYEYy7Q1qwgV2bPnxDy,Church Lady (feat. Danil Wright),Dennis Ferrer,house,0.00443,0.777,0.711,439587,0.634,2.95e-05,8,0.0765,-7.217,1,0.0529,126.01,4
9,3EhMz8BF6OyBpUSOdzi3fJ,Thank You Baby,Krankbrother,house,0.0744,0.809,0.328,418461,0.942,0.234,10,0.0563,-6.511,0,0.0526,124.003,4
10,46kpj0qe9eQ5khkYxuWgFr,That's What I Think About,Eddie Fowlkes,house,0.00182,0.844,0.614,394693,0.827,0.616,5,0.0816,-8.262,0,0.153,123.02,4
