,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
0,6KGbhJPOENeLN06ESWq7ov,Cheval Blanc,Matt Sassari,minimal_deeptech,0.00194,0.911,0.859,372480,0.636,0.499,9,0.358,-10.507,1,0.124,125.025,4
1,6moLbr3q11gHX3vuMbHfca,Lose Your Body,Joseph Edmund,minimal_deeptech,0.000925,0.808,0.873,393071,0.921,0.87,1,0.0716,-7.857,1,0.0548,127.008,4
2,5F26UXJqCASSw2Bz2IW5bv,Reported - DeMarzo Remix,BADEO,minimal_deeptech,0.0373,0.802,0.491,398095,0.918,0.867,10,0.0703,-10.662,0,0.0964,126.012,4
3,3O53fPrJW90rwI16QRrRP0,Recoil - Stiven Escarraga Remix,Del Fonda,minimal_deeptech,5.2e-05,0.892,0.748,424000,0.888,0.906,6,0.244,-12.768,0,0.0775,120.008,4
4,4NjU896U6n8U1veURdHA2l,Weke,Dennis Cruz,minimal_deeptech,2.8e-06,0.805,0.735,372487,0.904,0.908,1,0.0418,-8.663,1,0.0652,124.997,4
5,3ZqGNX8fFg05hxov2o1FlS,Serendipity,James My & Criss,minimal_deeptech,8.77e-05,0.767,0.737,404000,0.973,0.885,10,0.0851,-7.909,0,0.0593,125.009,4
6,0aF10rSAtBqkmH4x9RNPfx,The Three,Manuel De Lorenzi,minimal_deeptech,0.00111,0.81,0.258,429105,0.956,0.917,8,0.0171,-7.876,1,0.0537,126.002,4
7,0rMbCXXiZB3fDSJfwRB84M,Taxidermia - Gustaff Remix,Omaroff,minimal_deeptech,0.000728,0.812,0.466,400328,0.893,0.91,1,0.0374,-8.093,1,0.0576,122.996,4
8,4Df6yfdszMis5G0YcJIl5y,Neverthought,OuiOui,minimal_deeptech,0.00683,0.805,0.391,491339,0.636,0.922,5,0.0649,-10.224,0,0.0499,127.017,4
9,5Zl9JZWOscAYJesQkc4cIr,Little Helper 361-7,Fredo Guerre,minimal_deeptech,0.00744,0.861,0.683,410114,0.897,0.866,10,0.0756,-10.273,0,0.0953,122.997,4
10,1U0YBRCZESbUvmSLfxbHt6,DeputaMa - Original Mix,Jay Oss,minimal_deeptech,0.000857,0.805,0.762,403320,0.951,0.815,9,0.0369,-10.158,1,0.0704,124.997,4
11,1NmvDGxTrwdIPBhrD1YaVo,Akuni - Radio Edit,Ron Costa,minimal_deeptech,0.00228,0.811,0.742,208537,0.893,0.866,8,0.0478,-8.349,1,0.0609,126.028,4
12,1Rkpu169e88mbz0xWDTCb1,The Family,Rone White,minimal_deeptech,0.00455,0.81,0.5,390968,0.869,0.919,0,0.0513,-13.363,1,0.0561,124.008,4
13,275jUippVlgL5h5Q8Nl1k1,Haste - Original Mix,Vele,minimal_deeptech,0.00693,0.805,0.13,365476,0.683,0.917,7,0.0907,-11.458,1,0.0724,126.012,4
14,5rverxNZjw8JZg6rDSG9PP,Go Go Go,Rone White,minimal_deeptech,4.37e-05,0.808,0.507,379355,0.931,0.913,4,0.0762,-11.15,0,0.0429,124.009,4
