,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
0,769s9mFyge2Oi4yUuCQFiA,Sentient,Anyma,proghouse_melodic,0.0852,0.769,0.0396,274148,0.58,0.907,10,0.109,-13.436,0,0.0599,123.014,4
1,4KzLbHlhTEjk47JtkTqbeu,Reminding,Anyma,proghouse_melodic,0.0737,0.605,0.443,323535,0.666,0.593,0,0.0962,-11.745,1,0.041,128.002,4
2,1C5CkF7tKYLDCdqUVqP7oi,Fragments,Anyma,proghouse_melodic,0.165,0.597,0.44,230277,0.695,0.819,7,0.095,-9.144,1,0.0473,127.955,4
3,7eLFbEviNFKMmiRFLXuN7B,Omnia,Anyma,proghouse_melodic,0.00715,0.664,0.413,286124,0.735,0.881,10,0.115,-10.11,0,0.0421,125.984,4
4,0MjVztKL0FI9oU6L9QKzLf,Bird,Recondite,proghouse_melodic,0.089,0.672,0.45,350047,0.637,0.889,6,0.14,-10.117,0,0.052,125.8,4
5,6oJYJ6Ae2yMSPG8w10kAqb,Secluded,Recondite,proghouse_melodic,0.0358,0.804,0.236,398011,0.864,0.872,6,0.0945,-8.059,1,0.0394,126.999,4
6,3qhW02v4Yo6d5lPhxE6iZb,New Era,Yotto,proghouse_melodic,0.0658,0.588,0.0589,221066,0.92,0.717,8,0.107,-10.149,0,0.0388,122.026,4
7,54uUoTLCTeGyiydCllw5IK,Only One,Yotto,proghouse_melodic,0.0698,0.68,0.287,236033,0.743,0.79,6,0.131,-10.528,0,0.0324,121.011,4
8,2Qr2rffbdKrZbJhuO7sdZm,Walls,Tone Depth,proghouse_melodic,0.00331,0.623,0.032,252795,0.806,0.635,10,0.111,-12.205,0,0.0417,121.99,4
9,3Jprui7pqTR2lZSJ4ev4Y8,Nero,Tone Depth,proghouse_melodic,0.00361,0.645,0.039,383083,0.5,0.904,10,0.0785,-13.798,0,0.0351,123.009,3
10,7Avh3byWou0CdhGeLAc9Kn,Terra,Tone Depth,proghouse_melodic,0.247,0.697,0.394,375499,0.59,0.92,7,0.0741,-13.299,0,0.0461,122.999,4
11,3yVrtQpetcmAsVZRykj0Sk,Isolate,Mind Against,proghouse_melodic,0.0613,0.723,0.164,383800,0.528,0.932,8,0.103,-12.323,0,0.0678,119.983,4
12,3WwCDLhxNuN16HYge7Mrto,Signs Of Change,Colyn,proghouse_melodic,0.000195,0.812,0.239,378237,0.542,0.914,10,0.0585,-11.17,0,0.121,120.01,4
13,60HJTqEFhLo0IMxogwzQXv,Volador,Ae:ther,proghouse_melodic,0.00283,0.358,0.0381,362953,0.623,0.487,10,0.297,-11.022,0,0.0428,126.024,4
14,3KGQwAvlZVtrItl8W3FyFs,Paloma,Woo York,proghouse_melodic,0.055,0.8,0.119,391525,0.636,0.884,0,0.0868,-10.665,1,0.0642,124.005,4
15,72Hbjaq9QvLGitWMcqHPfA,Going To Mars,Nandu,proghouse_melodic,0.0731,0.744,0.498,399610,0.493,0.93,7,0.109,-10.693,1,0.0402,116.986,4
16,65bMFgIYR9rxMR9GeYraIh,A Declaration of Love,Stephan Jolk,proghouse_melodic,0.0124,0.66,0.0883,334433,0.676,0.877,7,0.0886,-10.05,0,0.0343,126.0,4
17,5k9JC4apQfkADSizXjbacn,The Verge,Innellea,proghouse_melodic,0.031,0.669,0.104,350401,0.563,0.697,6,0.115,-11.742,0,0.0367,121.997,4
18,7lc6kGBWIiseOkCUTa8FOG,Origins,ENØS,proghouse_melodic,0.0201,0.731,0.0333,396468,0.629,0.902,2,0.552,-11.212,1,0.0439,125.994,4
19,214KVkLPQCSqUJQ9IGHYJc,Dal Tramonto All’Alba,Lehar,proghouse_melodic,0.000782,0.779,0.2,445201,0.575,0.807,7,0.0998,-9.326,1,0.082,127.012,4
20,2TGj9n6nQ12mdhpiWVB32D,Polar Peak,Kevin de Vries,proghouse_melodic,0.00436,0.802,0.135,424459,0.468,0.924,0,0.0969,-8.998,1,0.0572,125.007,4
21,61lD99ZxDD9X9wI7yBOnSW,Overflow,ANNA,proghouse_melodic,0.0975,0.609,0.116,484434,0.743,0.909,1,0.0671,-9.913,1,0.0278,129.993,4
22,03AOPd7ZJbE9LPIA8oZMsA,Vanishing,Tale Of Us,proghouse_melodic,0.00236,0.764,0.0671,372906,0.497,0.916,0,0.0968,-9.931,1,0.0417,122.006,4
23,6knx7wtg7lkLUkeHV70inL,Swarm Storm,Mathame,proghouse_melodic,0.0222,0.728,0.235,366151,0.807,0.832,10,0.108,-9.667,0,0.0421,126.008,4
24,770zzJRmEN0sudaxuD7GkB,Fading,ARTBAT,proghouse_melodic,0.0924,0.615,0.0543,487869,0.655,0.8,7,0.144,-9.968,0,0.0412,122.002,4
25,7epOiR0canW82HG99n4CYD,Tangible Fear Of The Unknown,SOEL,proghouse_melodic,0.175,0.808,0.281,421344,0.618,0.899,0,0.115,-11.812,0,0.0471,122.999,4
26,4Tedm64nMsxHCbf1l4nlqK,Rain,Coeus,proghouse_melodic,0.00344,0.765,0.0387,409037,0.682,0.932,1,0.0812,-10.396,1,0.0443,123.002,4
27,2ySHXBpa7Oodnb5qnaOn6S,Pancho Villa,Kiko,proghouse_melodic,0.000396,0.788,0.0399,439717,0.761,0.885,10,0.0942,-9.732,0,0.0402,124.99,4
28,0lDaX2TnvCytz9aFV8i9Li,Solitude,Massano,proghouse_melodic,0.0244,0.668,0.382,411080,0.535,0.863,7,0.119,-9.735,1,0.0416,123.001,4
29,5KmbHadg7bswBrNPI49isy,Impersonation,VNTM,proghouse_melodic,0.0702,0.742,0.11,387548,0.542,0.826,7,0.112,-12.307,1,0.0723,123.967,4
30,2Rwru1on3vZr1oikuJRzvG,The Day Before Tomorrow,Adana Twins,proghouse_melodic,0.119,0.664,0.197,428273,0.952,0.782,0,0.111,-8.313,0,0.0418,126.006,4
31,7pcgoLttKOyvylFONNTydj,Lonely Train,Alfa Romero,proghouse_melodic,0.465,0.731,0.188,480791,0.577,0.877,10,0.0994,-14.196,0,0.0503,123.017,4
32,7xtxzUJDHhJ7qdY6ZtF6fq,"Two Worlds, One Sun",Antonio Ruscito,proghouse_melodic,0.0205,0.601,0.0389,451944,0.815,0.878,11,0.0969,-12.345,1,0.0489,126.08,4
33,5VGdOYcyLIVgRb9MjN8PDj,In Trust We Trust,Avidus,proghouse_melodic,0.00356,0.796,0.0718,418388,0.693,0.937,1,0.1,-11.214,1,0.0604,119.989,4
34,24jFhzUCn4aNlQ8JYe2dvo,Polynate,Franky Wah,proghouse_melodic,0.0328,0.278,0.0764,480204,0.37,0.904,2,0.101,-13.778,1,0.0404,172.301,3
35,5EQywsDi3UpzZa3Lumzx2q,Triumphant,Ivory (IT),proghouse_melodic,0.00495,0.736,0.167,408458,0.511,0.814,10,0.0649,-11.654,0,0.0501,118.001,4
36,28c6w0lX8d0TbK26fwLS8z,The Gate,KAS:ST,proghouse_melodic,0.804,0.218,0.168,140000,0.563,0.628,8,0.489,-14.437,0,0.0709,126.254,3
37,3qT2I1Z2R1mlR1bUC5fHyx,A Magic World,KAS:ST,proghouse_melodic,0.0487,0.583,0.039,366346,0.705,0.372,7,0.715,-11.345,1,0.0439,124.975,3
38,0hJe1vYGNravpYXAzRA3mx,VTOPIA,KAS:ST,proghouse_melodic,0.00291,0.62,0.0399,382944,0.787,0.839,8,0.113,-9.869,0,0.0475,128.01,4
39,2pzLId1X5tQmfOFbnv6d59,Mirrors,KAS:ST,proghouse_melodic,0.137,0.445,0.0635,244746,0.507,0.263,11,0.0964,-12.773,0,0.0415,119.743,4
40,5y8BjMLri6kOFCCSC7atl5,Our Last Dance,KAS:ST,proghouse_melodic,0.0102,0.543,0.0385,321262,0.846,0.853,0,0.112,-9.369,1,0.0384,124.992,4
41,6qv4w6xHCcDN3NArpORlTO,Letters,KAS:ST,proghouse_melodic,0.769,0.293,0.0391,200249,0.301,0.000398,4,0.225,-11.702,0,0.0344,118.947,4
42,4vn2amrvydbs4i4GsAASfg,Who's to Say What's Real,KAS:ST,proghouse_melodic,0.0277,0.464,0.0337,185040,0.521,0.249,2,0.0986,-10.783,1,0.054,124.976,4
43,30ZmoYq68DGiegG4zhBVxB,Siren,KAS:ST,proghouse_melodic,0.0723,0.644,0.123,248965,0.637,0.52,6,0.0702,-9.718,0,0.0478,145.004,4
44,2dMhoqYzJQzaZ3X4bEzVw9,Earth on Hell,KAS:ST,proghouse_melodic,0.491,0.24,0.0618,398677,0.452,0.852,6,0.205,-14.746,1,0.0415,122.282,4
45,1NTxMBS1vbRc3E48bsa9K5,Blood in Your Eyes,KAS:ST,proghouse_melodic,0.716,0.331,0.108,184469,0.137,0.845,2,0.0823,-17.6,1,0.0387,69.157,4
46,7w6Qt3Yl6dIsVxHcy0nEi7,75ZOO,KAS:ST,proghouse_melodic,0.0384,0.511,0.0894,349672,0.786,0.756,2,0.125,-11.158,1,0.0384,150.002,4
47,6fmLwPiQSlhQ8emPlb253n,Hope I'm Alone,KAS:ST,proghouse_melodic,0.0665,0.397,0.0767,273580,0.584,0.0076,2,0.444,-9.85,1,0.043,79.937,4
48,6aRRAthndj3jqN2pPn0OPY,Never Look Away,KAS:ST,proghouse_melodic,0.809,0.528,0.0723,168414,0.5,0.192,11,0.373,-12.558,0,0.061,83.323,4
49,0hRfA6AsUZZNwjBsVOekFH,You Thought It Was the End,KAS:ST,proghouse_melodic,0.513,0.45,0.112,189403,0.477,0.889,3,0.165,-13.752,0,0.0394,152.229,4
50,1uP4NxIrmoZvBje2JOKr3d,Outomorrow,KAS:ST,proghouse_melodic,0.0886,0.33,0.0398,251544,0.723,0.678,2,0.13,-10.595,0,0.0446,129.938,4
51,4td58LU39TUuZ5ksh5nkiF,Santiago,Agents Of Time,proghouse_melodic,0.356,0.766,0.226,374093,0.756,0.873,1,0.0794,-8.431,0,0.0524,124.992,4
52,3FT4bkfdje6bZcgOYQ7BAz,Midnight Drive,Agents Of Time,proghouse_melodic,0.000986,0.661,0.356,335733,0.831,0.888,11,0.26,-8.344,0,0.0426,127.987,4
53,5J9h4bGpmNFHzK8MLUZHqd,Chain Reaction,Agents Of Time,proghouse_melodic,0.0892,0.684,0.336,334123,0.685,0.877,2,0.111,-10.801,1,0.0588,129.002,4
54,5TEwm8Z55K6cIdpt6bJHLG,Out Of Format,Agents Of Time,proghouse_melodic,0.0787,0.513,0.512,220606,0.621,0.918,4,0.153,-8.44,0,0.0427,144.952,4
55,5sV6YuXW0Cherbpb6PEpTo,VTOPIA,KAS:ST,proghouse_melodic,0.00291,0.62,0.0399,382944,0.787,0.839,8,0.113,-9.869,0,0.0475,128.01,4
56,0GK9xiFTnKiij0GglIijfQ,Patterns,Colyn,proghouse_melodic,0.0155,0.809,0.321,484000,0.58,0.911,11,0.0834,-8.483,0,0.0533,120.008,4
57,5LDp8LtVS0jRImKkzEbsvq,Merging Realities,Colyn,proghouse_melodic,0.0192,0.785,0.0392,437173,0.774,0.938,6,0.114,-10.558,0,0.046,123.017,4
58,2lhTGEDtJAnbPX0y94NIqA,Protect Me,Colyn,proghouse_melodic,0.0024,0.806,0.0532,495610,0.831,0.921,2,0.11,-12.11,1,0.0583,123.009,4
59,4MWOuxB42TyxOlMNiwnRi9,Exo,Colyn,proghouse_melodic,0.00519,0.785,0.0356,495460,0.588,0.911,1,0.115,-12.636,1,0.0442,124.986,4
60,1WljSh5UwyuPGxu08F3jMY,Das Licht,Innellea,proghouse_melodic,0.0758,0.746,0.0803,388987,0.519,0.689,1,0.0798,-9.364,1,0.0473,122.028,4
61,0oPkb31xP0VwBkIuNMVN9D,Mondfinsternis,Innellea,proghouse_melodic,0.181,0.732,0.285,361032,0.541,0.915,1,0.111,-10.698,0,0.0637,125.006,4
62,4deba2jLItEN6synngRl8o,Hoffnungsschimmer,Innellea,proghouse_melodic,0.103,0.749,0.812,286190,0.842,0.817,8,0.244,-7.222,0,0.0742,120.026,4
63,0JK7YPMYooXLW6ddI37fJx,Horizon,Coeus,proghouse_melodic,0.000594,0.777,0.131,474235,0.777,0.873,7,0.0918,-9.072,1,0.0655,121.004,4
64,01lPkKliivglQvvwJka5CQ,Lucent,Coeus,proghouse_melodic,0.039,0.808,0.242,413108,0.781,0.925,7,0.0818,-8.515,1,0.0455,121.004,4
65,4z2m2B72ZTpyYHSA78N87g,Momentum,Coeus,proghouse_melodic,0.0166,0.803,0.181,410040,0.644,0.854,7,0.0873,-9.534,1,0.0453,122.001,3
66,4ycVEwOSWiFTzGdewbMNlL,Beyond Dreaming,Coeus,proghouse_melodic,0.00021,0.63,0.0697,545213,0.701,0.937,2,0.196,-8.329,1,0.0336,121.988,4
67,4bVLCwwYONEdE7rl50pIcn,1001 Nights,Alfa Romero,proghouse_melodic,0.166,0.742,0.033,454013,0.675,0.937,2,0.111,-12.964,1,0.0462,126.056,3
68,2rJ6tqhA4tZLHGmvBpHBnb,Learning To Fly,Alfa Romero,proghouse_melodic,0.254,0.613,0.363,442212,0.519,0.917,7,0.102,-13.025,0,0.0331,125.989,3
69,5kN3KytO8lTpT2IpZ2nAls,Once And Forever,Alfa Romero,proghouse_melodic,0.0734,0.74,0.245,465487,0.73,0.9,1,0.0942,-13.323,0,0.0621,126.012,3
