,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
0,18KVIouF8klKE9HdqdpUxd,Lights Go Out,Chapter & Verse,tech_house,0.0975,0.624,0.278,226667,0.888,0.313,3,0.0899,-5.909,0,0.0474,126.081,4
1,4vgP9RNzsXEUcW7Ws50VrI,Make Me Feel,John Summit,tech_house,0.0243,0.767,0.434,201905,0.67,0.828,2,0.117,-9.153,1,0.045,126.013,4
2,5w9yxsVPrSlRAcET0Fm0JK,Return To Forever,Future Class,tech_house,0.00379,0.778,0.428,170590,0.749,0.192,11,0.114,-7.715,0,0.0442,124.943,4
3,3PCzEorL5ctrkI7iONdCsG,Say Wuttt?!,The Golden Pony,tech_house,0.0197,0.813,0.922,194758,0.889,0.73,8,0.0523,-6.543,1,0.0658,124.011,4
4,1u2SUX1QkFAlaPKg2nvMbT,Everybody’s Free (To Feel Good) - Deeper Purpose Remix,Piero Pirupa,tech_house,0.00217,0.76,0.713,213543,0.948,0.895,9,0.0442,-4.431,0,0.0413,127.007,4
5,1N3HM0jF2WQcfPOOMpkQ0K,Isolation - Kokiri Remix,PEACE MAKER!,tech_house,0.00445,0.748,0.967,161208,0.962,0.0739,1,0.161,-4.77,1,0.0548,125.022,4
6,1gRQxbfL4ULWyTosgXSbWT,You Little Beauty,FISHER,tech_house,0.00232,0.926,0.918,206588,0.951,0.452,6,0.313,-5.531,0,0.0924,123.987,4
7,5Vs7q9E9xiXvfEnvYRAV9k,She Knows What She’s Doing,James Hurr,tech_house,0.000636,0.582,0.158,151452,0.976,0.838,1,0.204,-4.956,1,0.048,124.01,4
8,5NUs5HmzL1dG55LZgwrNan,What You Want,Tom Budin,tech_house,0.000251,0.731,0.572,157851,0.836,0.411,2,0.349,-6.119,1,0.0406,126.06,4
9,6U7DCvIA93YYzyFYwmiIIe,Mi Amor,Cloonee,tech_house,0.0187,0.824,0.0858,195952,0.511,0.834,8,0.309,-9.049,0,0.151,127.959,4
10,65j3O8NJD2YFSjfCX0aqui,Fireworks (feat. Moss Kena & The Knocks) - Torren Foot Remix,Purple Disco Machine,tech_house,0.0414,0.745,0.759,215423,0.956,0.339,1,0.15,-5.983,0,0.0459,125.003,4
11,7EnSPleg0AXdNSYTXsosgU,User,Dale Howard,tech_house,0.000999,0.803,0.345,182000,0.727,0.54,11,0.144,-11.09,1,0.0875,128.001,4
12,4w32zUZvPhQ75Tq0cJGZqE,Wonderland,NightFunk,tech_house,0.00591,0.956,0.746,215110,0.517,0.00856,7,0.0974,-5.73,1,0.423,130.017,4
13,553gYUFBUpXSQM8CSZcEhg,Pump The Brakes,Dom Dolla,tech_house,0.00675,0.813,0.508,220581,0.669,0.107,8,0.36,-6.827,1,0.092,124.007,4
14,0L0hCGsQaBlUXtfufxZaMG,Wasting My Time,Dave Summit,tech_house,0.00142,0.702,0.509,203810,0.985,0.603,7,0.323,-2.942,1,0.0684,125.934,4
15,65rgchI8TW6KX4Zsesiu3i,Ready 2 Dance (with Biscits feat. Anelisa Lamola),Martin Ikin,tech_house,0.000616,0.782,0.7,170238,0.932,0.111,7,0.133,-5.451,0,0.0485,126.024,4
16,2VPlkNIPV3Y1pq9ZyJKrIn,Like A Cigarette,SUBB,tech_house,0.0031,0.86,0.703,180000,0.596,0.00328,9,0.0804,-8.428,1,0.0703,124.005,4
17,33VrQvOZ7dyytQV3xCMolM,Lose Control,Fallon,tech_house,0.0257,0.867,0.366,186200,0.646,0.00849,6,0.267,-6.472,0,0.063,125.986,4
18,5hmcw6bW5V24CvJqsz87We,On My Mind,Diplo,tech_house,0.00155,0.771,0.629,189268,0.731,0.681,7,0.217,-6.577,1,0.0407,123.026,4
19,3TTMESPMxybEdsMsP1f8Xm,Headrush (feat. Elroii),MEDUZA,tech_house,0.0537,0.623,0.384,170323,0.673,0.65,8,0.155,-8.252,1,0.0613,124.01,4
20,6eyB9JoqCn4vRegYfiwVi8,Deeper Underground,Kevin McKay,tech_house,0.00011,0.806,0.812,148571,0.907,0.0498,1,0.0446,-6.72,1,0.0569,126.011,4
21,1JmsHmDGhWJemLArgnURNw,Take Control - Sammy Porter Remix,KREAM,tech_house,0.0309,0.718,0.825,236160,0.98,0.23,11,0.0978,-4.404,1,0.0592,124.984,4
22,1lLMUMpTAKCjHoKhR0MCVh,Help Me,Niko The Kid,tech_house,0.00571,0.764,0.717,190000,0.775,0.000685,10,0.311,-5.83,0,0.141,124.02,4
23,5tJZz05j6jtEvCoJ6GTQxi,Freedom,Leandro Da Silva,tech_house,0.00248,0.743,0.803,191613,0.86,0.000989,8,0.175,-3.779,1,0.0602,124.054,4
24,2Nk1gAqXytbhryuGmm84I5,Get Your Money,Solardo,tech_house,0.0103,0.712,0.863,230750,0.985,0.0528,6,0.182,-6.696,0,0.0519,129.995,4
25,5BNtE8llh1uv46S6Tfyh6C,Robonation - Radio Edit,Our Anthem,tech_house,0.0253,0.828,0.668,184762,0.898,0.534,7,0.0482,-8.935,1,0.0447,126.023,4
26,57cAWUeyfuAnhQEo2j0LBn,Party Till We Die,MorganJ,tech_house,0.00271,0.737,0.329,170000,0.847,3.29e-06,11,0.204,-6.397,0,0.0943,126.016,4
