,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
0,0sbH3fZyPXFms63UoWIVen,Hell On Earth,KAS:ST,techno,0.0481,0.537,0.0624,388255,0.899,0.906,8,0.0985,-8.566,0,0.0552,135.954,3
1,5qLZvk6aOHiP7ojmSVuCq0,Sinematic,Zimmz,techno,0.00855,0.662,0.238,420000,0.676,0.891,7,0.118,-9.889,1,0.0425,127.001,4
2,6Uv0QLfMnAteF6KT0Fltbn,Rigid - Kobosil 44 Rush Mix,Rosa Anschütz,techno,0.00086,0.805,0.27,412920,0.917,0.625,1,0.108,-5.925,1,0.151,134.996,4
3,1BiZIPwNd3yLP9KBoUqMRY,Symbiosis,Enrico Sangiuliano,techno,0.0342,0.752,0.154,533311,0.874,0.864,1,0.175,-7.716,0,0.0817,129.009,4
4,7ynMPqoIUMRdebXtCmQTKc,Sparkling System,TRYM,techno,0.00154,0.511,0.0662,358793,0.948,0.91,4,0.121,-8.614,0,0.0551,136.023,4
5,77CbKFoKrVFyvBQn5gx6EO,Still Raving,Regal,techno,0.00488,0.702,0.13,357394,0.88,0.728,7,0.316,-10.74,1,0.0606,134.999,4
6,1wKvdhEdWatU04C5yM7trX,Acid Lick,T78,techno,0.00194,0.649,0.236,276818,0.907,0.834,10,0.112,-7.016,1,0.0683,131.989,4
7,0yfLOwZmzWmdFLPmmQhGd0,C166W,Joyhauser,techno,0.00198,0.702,0.0705,487500,0.739,0.836,11,0.108,-10.583,0,0.0738,127.978,4
8,4F8OK7mNa51mKqgHqWQiYm,Space Raiders - Charlotte de Witte Remix,Eats Everything,techno,0.00314,0.749,0.0598,438720,0.731,0.867,4,0.111,-10.865,1,0.108,131.997,4
9,53cLYZSnsw7BeJybRHPlox,Move Your Body To The Beat,Reinier Zonneveld,techno,0.203,0.866,0.543,183333,0.828,0.527,8,0.123,-8.704,1,0.203,133.004,4
10,6faLXLiju97d1y3d72piKa,Born In 1968,Kobosil,techno,0.0109,0.713,0.675,307800,0.707,0.792,11,0.106,-7.917,0,0.0727,135.002,4
11,0n1ZOl8r9hZxjjfOAGv29q,Anker,Thomas Schumacher,techno,0.000176,0.667,0.0379,380675,0.989,0.887,8,0.281,-8.643,0,0.0318,128.985,4
12,3ogkFdjmZGO1zf3JUleIOJ,Galaxy Phase - Original Mix,Joyhauser,techno,0.079,0.658,0.0397,424350,0.837,0.925,1,0.106,-8.281,1,0.0483,127.987,4
13,1h4bq2MqFYoAu9XVXwZbKD,Seat Belt,ROBPM,techno,0.0036,0.823,0.0814,274154,0.767,0.854,8,0.15,-5.553,1,0.0417,129.942,4
14,2Xg4bsCoRI7Ey7eIy6tmvV,Back Into Consciousness - Original Mix,Spektre,techno,0.000197,0.736,0.315,417668,0.859,0.889,9,0.122,-8.053,0,0.0629,128.011,4
15,0qP89hbMRlounSq9QDSK6v,The Outsiders - T78 Remix,Christian Cambas,techno,0.00182,0.851,0.26,313701,0.904,0.924,2,0.112,-9.654,1,0.0582,126.992,4
16,6bZLnP9lEqExU9sZ1ow97T,The Yard Man,SRVD,techno,0.00242,0.679,0.0399,450235,0.758,0.857,2,0.116,-6.463,1,0.0598,127.961,4
17,7g85rAPa9iMdnm8DOUVD3f,Look What Your Love Has Done To Me - Amelie Lens Remix,Perc,techno,0.000472,0.713,0.0478,463031,0.908,0.779,6,0.108,-7.767,1,0.103,133.021,4
18,5F84K2ltGbHKMYbmujjt8W,Thinking About You ft Juliet Fox - Original Mix,Spektre,techno,0.000155,0.825,0.27,402905,0.794,0.911,1,0.09,-8.611,1,0.0536,126.006,4
19,5F0jX0RsLAJ06Hu3oLbA2i,Elements,Joyhauser,techno,0.00624,0.671,0.0679,417231,0.936,0.91,5,0.102,-8.993,1,0.0404,130.009,4
20,2LPwQCwT2o06dx2P1qDizN,Hypnotized - Joyhauser Remix,Amelie Lens,techno,0.00344,0.635,0.208,401627,0.859,0.869,7,0.537,-6.897,1,0.0447,131.001,4
21,0yndiHV68jSDkxxpdbzxdX,Pantagruel,Dusty Kid,techno,0.0617,0.67,0.242,376715,0.902,0.816,11,0.115,-11.465,0,0.154,130.004,4
22,19I2mi8kcf0fmoDphv1SOC,Double Slap,ROBPM,techno,0.0299,0.747,0.109,330462,0.88,0.825,1,0.151,-3.532,1,0.0772,130.005,4
23,5jUbmkU6rjKGsynCNZEct2,Sysma - Original Mix,Dusty Kid,techno,0.241,0.742,0.043,440842,0.609,0.581,11,0.103,-10.506,0,0.0908,128.004,4
24,3UIEGb11u2Ll7wzYyC2nvi,19 calls,Deborah de Luca,techno,0.0122,0.745,0.11,390000,0.788,0.885,1,0.0835,-7.438,1,0.0414,128.005,4
25,0P0rTrGkQMCei95omAOdQq,Vigilance - Original Mix,UMEK,techno,0.00075,0.796,0.229,399567,0.942,0.885,5,0.101,-7.432,0,0.0645,126.996,4
26,3BfLcQOyP6ovmQFTYfhIx4,Nordpol,Oliver Huntemann,techno,0.00724,0.778,0.0275,400101,0.864,0.895,7,0.0952,-9.741,1,0.0413,126.008,4
27,3kGr39dBiUUdFNw6iiLTDV,Selected,Charlotte de Witte,techno,0.0508,0.723,0.0788,482833,0.899,0.85,11,0.112,-7.981,0,0.074,132.993,4
28,3yuIgV8K2a6kqc8m8ksFLe,Higher Consciousness,Zimmz,techno,0.00586,0.728,0.206,441231,0.94,0.896,1,0.0912,-7.03,0,0.0476,130.001,4
29,10ng5Nz9DF1D4jz7Zw26nB,Phantom,Antonio D'Africa,techno,0.00298,0.777,0.313,405000,0.639,0.873,7,0.108,-11.696,1,0.0943,128.025,4
30,3M5F5teshlnR7LM5TQMEzq,The Curse,Mark Dekoda,techno,0.000194,0.809,0.0388,315224,0.649,0.901,9,0.109,-6.284,0,0.0666,133.994,4
31,1qvtFBWczWfbPTGS1AE9v6,Dimensions,ANNA,techno,0.00135,0.658,0.039,362420,0.97,0.897,2,0.111,-10.25,1,0.0549,129.993,3
32,48jCzxsRfT2J9TKPFG0yA5,Eating Concrete,Reinier Zonneveld,techno,0.00204,0.726,0.274,263817,0.95,0.799,8,0.104,-8.203,0,0.0874,131.018,4
